HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required.
PSYC 331       : This course requires QTM100 equivalent transfer credit as a prerequisite Prior completion of PSYC 110, or 111, or AP/IB credit in psychology.
PSYC 473W      : This seminar will provide a comprehensive overview of autism spectrum disorders (ASD), including the clinical and epidemiological features of ASD, how to detect, diagnose, and treat the disorder, and etiological factors associated with ASD. The course will follow a translational approach to bridging scientific research and clinical practice. Guest lectures by clinical and research faculty from Emory University and the Marcus Autism Center will range from social neuroscience and genetics to experimental paradigms for screening and detection, to the neurodevelopment of the disorder throughout the lifespan. Readings will include a collection of articles and chapters on ASD that elucidate the features of autism from both historic and current perspectives. In addition to reading assignments, course assignments will include active classroom discussion, a term paper that involves literature review and critical thinking, and reflection papers on practicum experiences. Students will receive direct experience with individuals with ASD through supervised clinical practicum placements at the Marcus Autism Center for 3 hours/week (observation only). Marcus Autism Center is one of the country's leading centers for clinical care and scientific research of ASD. Students interested in enrolling in this course should have taken at least one of the following prerequisite courses: Child Psychopathology, Abnormal Psychology, Child Development, Cognitive Neuroscience, or related course. Permission from instructors is required. Students interested in enrolling in this course who have met the prerequisite requirements of Statistics, Methods, and either Child Psychopathology, Abnormal Psychology, Child Development, Cognitive Neuroscience, or a related course are asked to send, by email, a one-page maximum paper that includes responses to the following questions: 1. Why are you interested in autism and what are your experiences with autism? 2. What are your professional interests and future goals? 3. What would you like to achieve most from taking this seminar? Please prepare your responses as a word document and send as an email attachment to cheryl.klaiman@emory.edu by October 31, 2025. Permission of the department required.
PSYC 474R      : Prior completion of PSYC 110, OR PSYC 111, OR AP/IB credit in psychology. Juniors and Seniors ONLY. For permission, please e-mail the instructor. Permission of the department required.
PSYC 495A      : (Permission Required Prior to Enrollment). Students enrolling in Psychology Honors Program must have a cumulative (overall) and major GPA of 3.70 for both. For more information, please visit: https://psychology.emory.edu/home/undergraduate/honors.html. Permission of the department required.
PSYC_OX 210    : This course requires Psyc_ox 110, Psyc_ox 111 or equivalent transfer/test credit as prerequisite.
PSYC_OX 223    : Prior coursework in college-level psychology, biology, or chemistry strongly recommended but not required.
PSYC_OX 225    : PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111 or FILM 101 or FILM_OX 101 or FILM 102 or FILM_OX 102 or equivalent transfer credit as prerequisite. This is a hybrid class (some in person, some online). This class is cross-listed with FILM_OX 225. Instructor will share schedule of in-person meetings.
QTM 100        : If you are registering for lab QTM 100-LAB 1 you must enroll in lecture section QTM 100-1. It is not possible to enroll in a lab section that is not linked to your lecture or vice versa.
QTM 185        : Explore how data analytics is revolutionizing sports, from player performance to business outcomes. No programming experience is required, though basic Excel skills are helpful. The seminar culminates in a group project where students analyze real-world sports data.
QTM 190        : (Freshmen Seminar - Limited to First Year Students Only) (Feminism isn't only about women, nor is feminism only for women. Feminism is about power, about who has it and who doesn't, and in today's world, data is power too. As twenty-first century citizens, we have witnessed the power of data to create communities, advance research, and expose injustice. But we have also seen the power of data be used to discriminate, police, and surveil. This course will draw on the past several decades of intersectional feminist theory and activism in order to identify models for challenging differentials of power in data science, as well as methods of using data science to work towards justice. Class meetings will be split between discussions of theoretical readings and explorations of data-scientific methods. Over the course of the semester, students will develop original research projects that intervene into issues of inequality and work towards justice. They will also produce final papers that document the results of their research.Participating students should have some familiarity with Python or a willingness to learn.)
QTM 302W       : (Same as ENGRD 302W 1) (Permission Required Prior to Enrollment) (Go here to request a permission code: https://forms.office.com/r/2uiiNAgySW. Questions? Contact Sadie Hannans at shanna9@emory.edu.) (Technical Writing for Data Science - In this writing-intensive course, we will practice the effective and ethical communication of specialized technical knowledge and quantitative data. Because data are information given order, we will consider their arrangement and re-arrangement as rhetoric. We will introduce rhetorical analysis as a model for understanding how quantitative data can be interpreted and conveyed for multiple audiences that range from professional researchers to the lay public. Guided by this knowledge, you will exercise strategies for communicating via the text, speech, and visual conventions that are integral to preparing "technical" genres such as research reports, research translations, informative and persuasive infographics, instructions, and data repositories. We will adapt these genres and their conventions for our course goals that center collaboration, transparency, and reproducibility, while emphasizing the methodological questions to ask when bringing new purposes to data prepared by others, as well as whom to ask, and how. As you gain comfort with thinking of writing and analysis as intertwined practices of exploratory inquiry, we will focus especially on how these practices shape the social impacts of our data-driven narratives.) Permission of the department required.
QTM 398R       : This course is for TA positions for QTM courses besides QTM 100. You must apply and be accepted in order to enroll. An application can be submitted at https://forms.office.com/r/341wsY0pq6. Permission of the department required.
QTM 465        : (QTM 220 or ECON 320) and( QTM 151 or QTM_OX 151) or equivalent transfer credit as prerequisites.
QTM 496R       : This is the course number for students receiving QTM credit hours for their quantitative intern experience. Securing an appropriate internship and completing the relevant application form prior to the deadline is the responsibility of the student. See this page for additional information: https://quantitative.emory.edu/opportunities/internships.html Permission of the department required.
QTM 498R       : QTM 220 or equivalent transfer credit as prerequisite. Permission of the department required.
QTM 499R       : This is the course number of students receiving QTM credit hours for their research fellowship. The fellowship program is highly selective and students should identify a faculty advisor for the semester prior to applying. Additional information about the Research Fellowship program can be found here: https://quantitative.emory.edu/opportunities/undergraduate-research.html Permission of the department required.
REL 371        : REL 250 or equivalent transfer credit as prerequisite. Complete Topic: Perspectives in Law and Religion Seminar: Sanctuary and Immigration This course satisfies the Religion major requirement: - Theme. Permission Required Prior to Enrollment. To request permission to register, contact Prof. Wei Wu wei.wu@emory.edu Law school schedule: Th 2pm-4:30pm LAW 831A emphasizes the production of scholarly writing in the form of a seminar paper. To support the success of undergraduate students enrolled in the course, an additional writing workshop component is included for undergraduate students. Undergraduate students enrolled in the cross-listed course number REL 371 for LAW 831A will meet with the instructor for 30 minutes at the conclusion of each class to discuss expectations, best practices, and strategies for scholarly research and writing. Graduate and professional students enrolled in LAW831A are also invited to join the discussion. For this reason, while LAW 831A is scheduled from 2pm - 4pm on Thursdays, the cross-listed course number will be scheduled from 2pm - 4:30pm. In recent years there has been much attention on the idea of sanctuary as a form of protection for immigrants and refugees threatened with deportation both among religious communities and municipalities. These movements have proven controversial and efforts are presently underway to undermine the ability of both religious communities and sanctuary jurisdictions to offer protection to immigrants and refugees. This seminar will examine the idea of sanctuary from its origins in ancient and medieval religious practices, through the sanctuary movement of the 1980s, and the advent of sanctuary jurisdictions. The seminar will also examine asylum law and its connections with the idea of sanctuary, recent policy decisions to allow immigration enforcement actions in religious spaces, and the application of religious free exercise protections to persons charged with illegal actions taken in support of immigrants and refugees. Students will write a seminar paper engaging broadly with the concepts of sanctuary, protection, and migration. Pre- or Co-Requisite: None Final Assessment: Paper/Project Permission of the department required.
REL_OX 170RW   : No pre-requisite required. This course explores the contributions of the theologian, mystic, and often-overlooked Civil Rights hero Howard Thurman on how people can work to establish, build, and extend community. Thurman, who led the first African Americans to meet with Gandhi in India, was a mentor to many Civil Rights leaders, and his classic book, Jesus and the Disinherited, served as an inspiration to them. After an examination of Thurman's life and thought, the course will focus on his interpretations of Jesus's Prodigal Son and Good Samaritan parables, because they illustrate Thurman's understanding of how to (re)establish community. In brief, Thurman's mysticism, its relationship with social change, and his practice of using the fine arts to raise one's spiritual consciousness and foster community, encourage a "sympathetic understanding" of other human beings.
ISOM 453       : ISOM 351 as prerequisite. STECSTUBUS student may enroll. This section is reserved for students in the BBA program.
ISOM 499R      : BBA & SPECSTUBUS students can enroll. This section is reserved for students in the BBA program. In businesses, as projects become more complex and project teams become more diverse in expertise and geographical location, fully one-third of projects fail and another third complete well below expectations. This course gives you a working knowledge of project creation and management planning, helping you plan and complete future projects on time, within budget, and with the expected deliverables. Students should have taken or is concurrently taking ISOM 351. Some basic familiarity with MS Excel (the Excel toolbox) also helps
ITAL 201       : ITAL 201 LANGUAGE AND CULTURE, INTERMEDIARY LEVEL 1 (Prof. Porcarelli / MW 10:00am-11:15am in person; F 10:00-10:50am online synchronous). Content: This course is a continuation of the Elementary Italian sequence, and it is for students who have already completed ITAL 102 or equivalent. During the semester Students will acquire cross-cultural competency and an intermediate language level proficiency in Italian through a variety of tasks practicing speaking, writing, listening and reading in cultural context. This hybrid course will meet three times per week: M-W in person and F synchronously online. Assessment: Weekly assignments, tests and quizzes, oral presentations and in-class writing assignments. Prerequisites: Italian 102 or instructor's approval
ITAL 301W      : ITAL 301W-1 Pathways to Fluency (3 credits). (Prof. Ristaino / MW 11:30am-12:45pm ). For students who have completed the ITAL201-202 sequence or have received permission from the DUS to enroll in the class. Course Goals: Deepening of grammatical skills, integrated conversation, composition, and reading. Content: This course is designed to assist advanced students in Italian Studies in fully developing their Italian language skills while exploring the culture, which permeates the language. Thus, in addition to their continuing work in grammar and emphasis on writing, students will focus on the sequential study of Italian civilization: art, history, literature and politics, through the 19th century. It fulfills Continuing communication requirement. Assessment: The final grade is based on weekly assignments, mid-term exam, oral presentation and final paper. Prerequisites: I for students who have completed the ITAL201-202 sequence or have received permission from the DUS to enroll in the class.
JPN 201        : JPN 102 or equivalent transfer credit as prerequisite. This class will meet in person TTh with additional materials to be completed asynchronously.
JPN 401        : JPN 302 or JPN 302W or equivalent transfer credit as prerequisite.
JS 273         : (Same as REL 270 4) This course satisfies the Religion major requirement:- Tradition-Judaism, Theme. "They tried to kill us. We won. Let's eat." In this widely repeated joke about Jewish holidays, the American Jewish comedian Alan King highlighted the importance of food in Jewish culture. In this seminar course, students will explore Jewish civilization through a focus on Jewish foodways: what Jews eat and don't eat, and why; how various Jewish identities are connected with food; the role of food (and drink) in celebration and mourning; how Jews have adopted and adapted foods in their global dispersion and in the modern State of Israel; Jewish contributions to non-Jewish food cultures. While some basic knowledge of Judaism and Jewish culture will be helpful, no such prior knowledge is strictly required. Students will engage with the work of the course from diverse knowledge backgrounds and identities (Jewish and non-Jewish).
JS 448W        : Any JS or MESAS course or equivalent transfer credit as prerequisite. (Same as HIST 448W 1, MESAS 448W 1, and POLS 448W 1) (Ever since the emergence of the Zionist movement in the late nineteenth century, the political future of the land known as both Israel and Palestine has been the subject of fierce international debate. This seminar will examine how, exactly, this land has been discussed in international forums and in various countries, as well as how leaders of both Israelis and Palestinians have worked to chart a foreign policy for their respective peoples. Students will be given an overview of Israeli foreign policy and Palestinian attempts at global outreach since 1948 before the course moves on to explore the politics of the Israeli-Palestinian conflict in various regions of the world. Course requirements include regular preparation and participation, facilitating/co-leading classroom discussions, ten brief response essays, and a final original research paper. Most research papers will focus on Palestinian or Israeli foreign relations with another country, or the role of the Israeli-Palestinian conflict in another country or region's politics, either historically or today. While there is no fixed prerequisite for the course, students should either have some background in the politics and history of Israel or the Middle East or have previous studied another country or region that they plan to examine in their research) This is not an introductory course on the conflict. Those interested in an introductory course should enroll in the larger "Israeli-Palestinian Conflict" course to be taught in Spring 2026
KRN 227W       : All materials in English. No prior knowledge of Korea is required.
KRN 301        : For permission to enroll, please contact Dr. Bumyong Choi at bumyongchoi@emory.edu. Permission of the department required.
KRN 383        : (Same as CPLT 369 2) All materials in English. No prior knowledge of Korea is required.
KRN 403        : KRN 402 or equivalent transfer credit as prerequisite. For permission to enroll, please contact Dr. Bumyong Choi at bumyongchoi@emory.edu. Permission of the department required.
LACS 409       : (Same as SPAN 409 1, LING 409 1, HLTH 469 1) This course examines how particular narratives about the body, health, and wellbeing are constructed and circulated in Latin America. Drawing on a number of classic and contemporary texts, we consider both the specificity of local medical narratives and the processes, which increasingly link these systems of knowledge and practice. The course queries how presupposed notions of language, communication, narrative, media, and the like provide implicit foundations for producing and naturalizing notions of health, disease, medicine, and the body and their associated practices and materialities. Topics covered include narrative production; local theories of disease causation and healing efficacy; narratives of embodiment; medicalization; structural violence; the meanings and effects of new medical technologies; and global health.) Texts: Provided by instructor. Prerequisites: At least one foundational course (SPAN 300- 318) or permission from instructor
LACS 490R      : (Same as SPAN 485 1) This course explores the intersection of patriarchy, racism, and violence in 21st-century Latin American film. Students will examine how various family formats are portrayed on film, and to what extent they construe, challenge, and/or otherwise reproduce influential concepts (such as care, work, motherhood, childhood, decency, masculinity, or promiscuity) across gender, racial, and/or class-based lines. In examining these issues, we will look at how People of Color, Women, Children, and members of the LGBTQ+ collective bear the brunt of abuse and generalized violence brought against them due to the sheer fact that they dare to exist. We will also explore the concept of patriarchy paying attention to the many traits that turn masculinity in particular, and cisheteronormativity in general, (as well as subtle forms of white supremacy-ism) into vigilance vectors bent on building "the normal". In analyzing narrative depictions that address the aforementioned forms of inequality, the class will discuss to what extent State-sponsored forms of violence manufacture hegemony, neutralizing and destroying any detectable "deviance" from a desideratum for docile and malleable citizens that remains under constant (de)construction. EVALUATION: Participation in class, written critical responses, an oral presentation, and a final research essay. PREREQUISITE: At least one foundational course (SPAN 300-318W) or permission from the instructor.
LAT_OX 201W    : LAT_OX 102 or LAT 102 or LAT_OX 111 or equivalent transfer credit as prerequisite.
LING 212W      : LING 201 or LING_OX 201 or ANT 203 or equivalent transfer credit as prerequisite. What makes a word a word, as opposed to a phrase or sentence? What are the basic principles that determine how words, phrases and sentences are formed cross-linguistically? We will cover some well-known concepts in syntactic theory, including constituency, category, dependent clauses, argument structure, anaphora, wh-questions and other kinds of displacement, and see how they are analyzed in a generative grammar framework. We will periodically face the question `How are words different from sentences?' and in the second part of the course we will examine this question in-depth by looking at some problematic cases in English and other languages. Students will develop the vocabulary and problem-solving techniques that linguists use for morphosyntactic analysis: recognizing patterns in linguistic data, testing hypotheses, applying diagnostic tools, and advancing arguments and counterarguments. Required Textbook(s): All assigned readings will be online. Prerequisite: Foundations of Linguistics (LING 201, LING_OX 201 or ANT 203), or equivalent course with permission of instructor.
LING 242       : (Same as ANT 285 2) Students in this course will be exposed to a diverse range of the world's languages, and will acquire the tools and vocabulary to analyze them. We will study language classification and historical relationships, typology and universals, sound and structural features, and writing systems, covering the major geographic regions of the world. Students will find out about such non-English phenomena as vowel harmony, click consonants, noun incorporation, and ergative-absolutive case. There will also be readings and discussions on related issues, including the theory of universal grammar, the relationship between language and culture, and the notion of creole exceptionalism. All required readings will be made available online.
LING 328       : Prerequisite: Linguistics 201 (or equivalent) or instructor consent is required for this course. Change is constant in all (living) languages, in all times and places. This course explores this important phenomenon from the perspectives of historical linguistics and sociolinguistics. We will begin by surveying diverse types of change that affect sounds, grammar, and lexical meaning. We will then explore how we can know about languages and changes of the past (for instance, the Comparative Method). We will conclude by examining a range of responses to a key question of sociolinguistics: how and why do changes occur when and where they do? Particulars: Grades will be based on a combination of participation, homework/preparation, and four take-home exams. Students interested in carrying out a research project in historical linguistics or historical sociolinguistics should speak with the instructor about enrolling concurrently or subsequently in Ling 497R.
LING 409       : (Same as SPAN 409 1, LACS 409 1, HLTH 469 1) This course examines how particular narratives about the body, health, and wellbeing are constructed and circulated in Latin America. Drawing on a number of classic and contemporary texts, we consider both the specificity of local medical narratives and the processes, which increasingly link these systems of knowledge and practice. The course queries how presupposed notions of language, communication, narrative, media, and the like provide implicit foundations for producing and naturalizing notions of health, disease, medicine, and the body and their associated practices and materialities. Topics covered include narrative production; local theories of disease causation and healing efficacy; narratives of embodiment; medicalization; structural violence; the meanings and effects of new medical technologies; and global health.) Texts: Provided by instructor. Prerequisites: At least one foundational course (SPAN 300- 318) or permission from instructor
LING 430R      : LING 201 or ANT 203 or LING_OX 201 or equivalent transfer credit as prerequisites.
LING 446W      : (Same as SOC 446W 1, DATASCI 446W 1) The course deals with new tools of analysis and visualization of text data. It is a 4-credits course, fulfilling the writing requirement with extensive weekly writing. The course does NOT require any prerequisites or prior knowledge of computational tools. Freshmen are not allowed to register. Text corpora will be assigned for analysis but students are welcome to use their own texts (e,g., newspaper articles, books, blogs). The course is based on a set of specialized Natural Language Processing tools (NLP), written in Python, designed for the analysis of small/large corpora of text. The tools come with an easy-to-use Graphical User Interface (GUI). From sentence splitter, to tokenizer, lemmatizer, parser with its Part-of-Speech tags (POSTAG), Dependency Relations (DEPREL), Named Entity Recognition (NER), semantic trees, sentence complexity and text readability, noun and verb analysis, n-grams viewer, sentiment analysis, topic modelling, extraction of SVOs (Subject-Verb-Object), and shape of stories, word embeddings (Word2Vec) you will learn the language of Natural Language Processing (NLP). The course also embeds tools of data visualization as word clouds, Excel-type charts, network graphs, and Geographic Information System (GIS) maps. The course uses freeware software exclusively. The course has no required books.
LING 497R      : (Permission Required Prior to Enrollment) (Topic: Emory Voices Project ) Permission of the department required.
LING 498R      : We'll discuss short works of fiction that deal with some of the big questions in linguistics: What makes language unique? What makes it not so unique? What does language tell us about the human mind? What is its role in the human experience? Sci-fi helps us imagine possibilities that might not otherwise occur to us, adding nuance to our thinking on these big questions. Each week there will be an assigned short story, novella, novel excerpt or film to read or watch ahead of time. Grading will be based on participation (including some discussion-leading), weekly informal reading responses or quizzes, and a final interview/conversation about a selected novel. All required readings will be made available for free. Pre- or co-requisite: at least one other LING course, or permission of instructor. Students who have already taken this class aren't eligible to enroll for credit, but may be allowed to audit (email Dr. Pak about this). Permission of the department required.
LTL_OX 201E    : LTL_OX 200 or equivalent transfer credit as prerequisite. (Permission of Instructor Required Prior to Enrollment) Permission of the department required.
MATH 112Z      : MATH AP/AB or IB credits or equivalent transfer credit as prerequisite. First-year students only (there are NO EXCEPTIONS). This class is for freshmen who have earned a 4 or 5 on the AP AB exam, or a 5, 6 or 7 on the IB HL exam. Topics include: techniques of integration, exponential and logarithm functions, sequences and series, and polar coordinates. Please email scores to MATH-APSCORES@LISTSERV.CC.EMORY.EDU. Please include in your email which course and section you would like to enroll. Permission of the department required.
MUS 384        : 1) The MUS 347 pre-requisite is in the process of being removed, so any students interested in learning electronic music through hands-on performing and working with electronic instruments are encouraged to reach out to Dr. Mirza about taking this course. 2) Fall 2025 we will feature our second collaboration with dancers in. T. Lang's Movement Improvisation II course at Spelman College, making music and performing together with the dancers. Permission of the department required.
MUS 443R       : (Same as THEA 443R 1) Permission of the department required.
NBB 361W       : BIOL 360/NBB301 or equivalent transfer credit as prerequisite.
NBB 460        : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite. (Same as BIOL 460 1) (This course explores our current understanding of the mechanisms that regulate development of the nervous system. Topics covered include neurogenesis, axon guidance, programmed cell death, and synapse formation.)
NBB_OX 202     : (BIOL 141 and BIOL 141L) or BIOL_OX 141 or PSYC 110 or PSYC_OX 110 or equivalent transfer credit as prerequisites.
NBB_OX 270R    : BIOL 141L or BIOL_OX 141L or equivalent transfer credit as prerequisite. An introduction to the development of the nervous system. Covers the field of developmental neurobiology from neural induction to the modification of neuronal connections in the adult nervous system and uses a variety of model organisms to demonstrate the rules by which nervous systems are created.
NRSG 201       : All nursing pre-reqs courses require department permission to enroll. For Emory SON permission you must email nrsgpermissioninquiries@emory.edu for registration approval and support. Online asynchronous. Permission of the department required.
NRSG 205       : All nursing pre-reqs courses require department permission to enroll. For Emory SON permission you must email nrsgpermissioninquiries@emory.edu for registration approval and support. Online asynchronous Permission of the department required.
NRSG 326       : NRSG 310 or equivalent transfer credit as prerequisite. This section is for traditional BSN semester 2 students only.
NRSG 331       : Faculty will assign. Students cannot self-register. Registration will be processed by the Office of Education staff. Permission of the department required.
NRSG 335       : Emory College students are welcome and encouraged to enroll. This course meets the race and ethnicity GER and will count for History major and minor credit. This course is in the Arts and Social Justice program for the Fall 2025 semester. Students will have the opportunity to work with an Atlanta artist and explore social justice issues relevant to the course topic. This class is full with a long waitlist but may change during the fall 2025 add/drop/swap period. To be added to the waitlist please contact nrsgpermissioninquiries@emory.edu .
NRSG 409       : NRSG 301 and NRSG 302 and NRSG 363 or equivalent transfer credit as prerequisites. This section is for traditional BSN semester 3 students only.
NRSG 410       : NRSG 301 and NRSG 302 and NRSG 363 or equivalent transfer credit as prerequisites. This section is for traditional BSN semester 3 students only. Clinical may be scheduled any day not in lecture, including weekends for 12 hours; onsite simulation may be scheduled any day not in lecture except Sundays.
NRSG 414       : NRSG 301 and NRSG 302 and NRSG 301 and NRSG 302 and NRSG 363 or equivalent transfer credit as prerequisites. This section is for traditional BSN semester 3 students only. Clinical may be scheduled any day not in lecture, including weekends for 12 hours; onsite simulation may be scheduled any day not in lecture except Sundays.
NRSG 453       : NRSG 331 and NRSG 332 or equivalent transfer credit as prerequisite. Must seek permission from faculty. For trad BSN seniors only. Student cannot self-register. Registration will be processed by the Office of Education staff. Permission of the department required.
NRSG 497R      : Student cannot self-register. The Office of Education will process the registration. Permission of the department required.
NRSG_OX 201    : Students must contact Advising Support to request permission numbers to enroll in this course. Permission of the department required.
NRSG_OX 202    : Contact Advising Support to receive registration assistance. (Permission Required Prior to Enrollment) Permission of the department required.
OAM 450        : (FIN 320 or FIN_OX 320) and OAM 331 or equivalent transfer credit as prerequisites. This section is reserved for students in the BBA program. Permission of the department required.
OAM 497        : This section is reserved for students in the BBA program. To promote equity in an industry that touches the lives of millions of families around the world, it is critical that coffee growers are able to develop and capitalize on their own farm stories. This directed study course focuses on understanding the farm stories told by coffee growers to enhance their ability to participate effectively in specialty coffee markets. Students will meet weekly to learn about specialty coffee and collectively support coffee growers from Guatemala and Honduras. In the first four meetings, students will read about and discuss issues related to specialty coffee and storytelling. Then, students will be introduced to participating coffee growers. During each 3-Day Storytelling Workshop, students will work with growers to cultivate a deeper appreciation for how effective farm stories can enhance economic opportunities. In the post-workshop meetings, students will continue to work with their assigned growers to complete, review, and refine their stores. Completed stories will be posted on a dedicated website. Permission of the department required.
ENVS_OX 232E   : Must enroll in ENVS_OX 232E lab
ENVS_OX 244E   : Instructor permission required to enroll Global Learning course: additional fee required; financial aid available. Experiential learning credit is earned through participation in a 7-14 day travel component and its assignments, alongside regular on-campus coursework and class meetings. Orientations and activities related to the global learning program are required outside of class meeting time and administered through Canvas. Admission to course requires separate application process; the global learning program provides more information about the travel component, itinerary, physical activity levels, and more. Students offered enrollment will receive a permission number and additional instructions. Permission of the department required.
FILM 207       : FILM 107 or FILM_OX 107 or equivalent transfer credit as prerequisite. There is a $120 Equipment Fee for this class. This grants access to equipment rentals for assignments.
FILM 208       : FILM 107 or FILM_OX 107 or equivalent transfer credit as prerequisite. $125 course fee for access to equipment room
FILM 211       : FILM 107 or ARTVIS 107 or FILM_OX 107 or equivalent transfer credit as prerequisite.
FILM 214       : (Same as WGS 214 1) MCP Elective Black girlhood exists. The popularity of black girl magic the consumption of black girl/woman/femme culture and style, and the growing number of Black girlhood narratives affirms the need to view Black girlhood. This course will pair a wide range of film, social media, and television that mis/represent Black girls/femmes, along with the theoretical works that examines the complexities and intersections of race, personhood, sexuality, and authority, Employing critical race theory, as well as the critical lens of media studies, there will be an exploration of platform analysis (social media, podcast, tv and film) to genre studies (drama, comedy, sci-fi, to critical theory (queer, pedagogy, feminisms/womanisms) in order to historicize Black girlhood. The course culminates in a creative media project. Experience in filmmaking and mediamaking not required.
FILM 255       : (FILM 101 or FILM_OX 101) and (FILM 107 or FILM_OX 107) or equivalent transfer credit as prerequisite. There is a $120 Equipment Fee for this class. This grants access to equipment rentals for assignments.
FILM 292R      : FILM 101 or FILM_OX 101 or equivalent transfer credit as prerequisite. This course introduces students to one of the most important and prolific film genres in the history of American cinema, a genre that, for some, characterizes the very essence of American film. In addition to offering an overview of the Western's development from the silent era to the approximate present, the course will explore its historical, artistic, and literary precursors, as well as the genre's central themes, conventions, myths, and iconographies. In doing so, we will collectively reexamine the Western's principal filmmakers and main players, along with its ideologies and representations, not least the question of genre itself.
FILM 326       : FILM 376 or THEA 221 or THEA 222 or equivalent transfer credit as prerequisite. (Same as THEA 326 1) This course is instructor permission-only. Please reach out to the instructor directly & CC Theater Studies' Program Coordinator, Nicole Hart (nahart@emory.edu), for enrollment permission. Permission of the department required.
FILM 403       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit as prerequisite.
FILM 404       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit as prerequisite. MCP Elective
FILM_OX 225    : PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111 or FILM 101 or FILM_OX 101 or FILM 102 or FILM_OX 102 or equivalent transfer credit as prerequisite. This is a hybrid class (some in person, some online). This class is cross-listed with PSYC_OX 225. Instructor will share schedule of in-person meetings.
FILM_OX 278W   : FILM_OX 101 or FILM 107 or ARTVIS 107 or FILM_OX 107 or equivalent transfer credit as prerequisite.
FIN 399R       : This section is reserved for students in the BBA program. This course will explore the political issues and fundamental business models used by different industry participants - including government agencies, insurers, providers, pharmaceutical companies, device makers, and post-acute care providers. This course introduces the framework of a value-based health care delivery system with the goal of maximizing value for patients. This course is intended to stimulate thinking about how the various players in the US healthcare system must change their strategies, operations, and measurement of health care outcomes if the US is to improve the value of care provided over the current delivery system.
FIN 422        : FIN 220 or FIN 320 or SPECSTUBUS students or equivalent transfer credit as prerequisite.
FIN 484        : FIN 424 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
FIN 485        : FIN 220 or FIN 320 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
FIN 488        : FIN 425 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
FREN 313       : FREN 310 or equivalent transfer credit as prerequisite. FREN 313 French and Francophone Culture (Prof. Bulakites / TTh 2:30-3:45pm in person). Content: In this course, students study French and Francophone culture through the lens of France's colonial history and its relationship to colonized peoples. This course closely examines immigration, race, religion, sexuality, and gender to better understand French identity. We look at how France's immigrant and minority populations define themselves and the exclusionary aspects of the concept of "national identity." In this discussion-based course, students engage with a variety of texts including films, novels, popular press articles, comic books, and songs.
FREN 331       : FREN 310 or FREN_OX 310 and FREN 314 or FREN_OX 314 or equivalent transfer credit as prerequisite. FREN 331: Ruins and Ruination (Prof. Bruyère / TTh 1:00-2:15pm ). Content: Ruins allow us to imagine time as a place we could inhabit. Perhaps, that is why ruination has played such an important role in shaping our sense of what history is supposed to look like but also feel like. This class proposes a guided visit through six centuries of fascination for debris, remains, rubbles, wreckage, and life in the aftermaths. Taught in French.
FREN 460W      : FREN 310, FREN 314 and two 300 level FREN courses, or equivalent transfer credit as prerequisite. My French 460 : Les CInémas d'Afrique de l'Ouest et d'Afrique centrale Prof. Subha Xavier Ce cours fera le tour de certaines des créations filmiques les plus importantes issues d'Afrique de l'Ouest ou d'Afrique centrale où le français est aussi parlé, et qui ont participé à l'élaboration d'une Afrique cinématographique des 20e et 21e siècles. À travers le prisme des histoires politiques et culturelles représentées dans chacun des films, ainsi que de leurs conditions de production transnationales, nous retracerons l'histoire de l'Afrique sur le grand écran telle que représentée par les Africain·es elles·eux-mêmes pour répondre à la question « Qu'est-ce que les cinémas d'Afrique » Films Paulin Vieyra, Afrique sur Seine (1955, 22 min.) Ousmane Sembène, Borom Sarret (1964, 20 min.) Ousmane Sembène, La Noire de' (1966, 65 min.) Ousmane Sembène, Mandabi (1968, 90 min.) Med Hondo, Soleil O (1967, 98 min.) Sarah Maldoror, Sambizanga (1972,102 min.) Djibril Diop Mambéty, Touki Bouki (1973, 85 min.) Souleymane Cissé, Yeelen (1987, 104 min.) Jean-Marie Teno, Afrique je te plumerai (1992, 88 min.) Anne Laure Folly, Femmes aux yeux ouverts (1994, 52 min.) Safi Faye, Mossane (1996, 105 min.) Raoul Peck, Lumumba (2000, 115 min.) Abderhaman Sissako, En attendant le bonheur (2002, 90 min.) Petna Ndaliko Katondolo, Jazz Mama (2010, 30 min.) Moussa Touré, La Pirogue (2012, 87 min.) Alain Gomis, Félicité (2016, 129 min.) Mati Diop, Atlantique (2019, 106 min.) Petna Ndaliko Katondolo, Kapita (2021, 22 min.)
FREN 495BW     : FREN 310, FREN 314 and two 300 level FREN courses, or equivalent transfer credit as prerequisite. Permission of the department required.
