HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required
ECON 333       : (ECON 112 or ECON_OX 112) and (ECON 220 or ECON_OX 220 or MATH 361) or equivalent transfer credit
ECON 366W      : ECON _OX 100 or ECON 101 or ECON_OX 101 or FIN 201 AND ECON 112 or ECON_OX112 or equivalent transfer credit as a prerequisite. (Same as AFS 366W 1)
ECON 385W      : ECON _OX 100 or ECON 101 or ECON_OX 101 or FIN 201 AND ECON 112 or ECON_OX112 or equivalent transfer credit as a prerequisite. Using multimodal forms of communication, this course exposes students to the complexities of the modern economy and the role of money laundering (ML) as the crime that makes all crimes (as a business enterprise) possible. It explores the "criminal enterprise value chain" and the money laundering "value proposition", highlighting the interaction between illicit financial flows (IFF), ML, and the shadow (parallel) economy hidden in plain sight
ECON 405       : ECON 201 AND ECON 220 or MATH 207 or MATH_OX207 or MATH 361 or MATH 362 or equivalent transfer credit
ECON 415       : (ECON 101 or ECON_OX 101 or FIN 201) and (ECON 112 or ECON_OX 112) and (ECON 201 or ECON_OX 201) or equivalent transfer credit
ECON 422       : ECON 320 or equivalent transfer credit
ECON 434       : ECON 112 OR ECON_OX112 AND ECON 201 OR ECON_OX201 or equivalent transfer credit
ECON 496RW     : (ECON 201 or ECON_OX 201) and (ECON 212 or ECON_OX 212) or equivalent transfer credit as a prerequisite. Permission of the department required
ECON 499RW     : (ECON 201 or ECON_OX 201 or ECON 212 or ECON_OX 212) and (ECON 220 or ECON_OX 220 or MATH 361) or equivalent transfer credit as prerequisites. Permission of the department required
ECON_OX 112    : Econ_OX 101, Econ 101
ECON_OX 212    : ECON_OX 101 and ECON_OX 112 and MATH_OX 111 or equivalent transfer credit
ECON_OX 220    : ECON 101 & MATH 111 or equivalent course or transfer credit required
ECON_OX 385R   : Econ 112_OX prerequisite (Permission of Instructor Required Prior to Enrollment) Permission of the department required
ECON_OX 385RE  : Econ 112_OX prerequisite (Permission Required Prior to Enrollment) Permission of the department required
POLS 448W      : Any JS or MESAS course or equivalent transfer credit as prerequisite. (Same as JS 448W 1, HIST 448W 1, and MESAS 448W 1) (Ever since the emergence of the Zionist movement in the late nineteenth century, the political future of the land known as both Israel and Palestine has been the subject of fierce international debate. Students will be given an overview of Israeli foreign policy and Palestinian attempts at global outreach since 1948 before the course moves on to explore the politics of the Israeli-Palestinian conflict in various regions of the world. While there is no fixed prerequisite for the course, students should either have some background in the politics and history of Israel or the Middle East or have previous studied another country or region that they plan to examine in their research) (This is not an introductory course on the conflict. Those interested in an introductory course should enroll in the larger "Israeli-Palestinian Conflict" course to be taught in Spring 2026)
POLS_OX 320    : POLS 110 or POLS_OX 110 or POLS 120 or POLS_OX 120 or equivalent transfer credit
POLS_OX 354    : Any POLS 100 or POLS_OX 100 level course
POLS_OX 385R   : Judiciary Students should have completed POLS 100 or POLS 111 as prerequisite This course explores the behavior and decision-making processes of courts and judges within the United State
PORT 185       : (Same as SPAN 185 1) (Permission Required Prior to Enrollment) (Community engagement for residents of Casa Émory (Theme Housing). ) Permission of the department required
PORT 202       : CONTENT: This course aims to further develop communication skills in Portuguese and expand knowledge of Lusophone cultural traditions. REQUIRED TEXTBOOK: Contextos: Curso Intermediário de Português, print or electronic edition. PARTICULARS: Evaluation is based on daily and active participation, homework, written and oral compositions, quizzes, exams, and Portuguese program activities. PREREQUISITES: Port 201 or equivalent
PORT 302W      : PORT 201 or equivalent transfer credit as prerequisite. (Same as AFS 302W 1) Course Description: This course primarily examines literary and cinematographic artistic productions of the five African countries whose official language is Portuguese: Angola, Cape Verde, Guinea-Bissau, Mozambique, and São Tomé and Príncipe
PORT 303W      : PORT 201 or equivalent transfer credit
PSYC 200W      : (PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111) and (PSYC 230 or QTM 100 or QTM_OX 100) or equivalent transfer credit as prerequisite. Students enrolled in PSYC 200W (lecture) must also enroll in a required lab
PSYC 320       : PSYC 110 or PSYC_OX 110 or BIOL 141 or BIOL_OX 141 or equivalent transfer credit as prerequisite. (Same as BIOL 320 1) This course provides an overview of major research areas in the field of animal behavior
PSYC 324       : (PSYC 110 or PSYC_OX 110 or NBB 201 or ANT 200 or NBB_OX 201 or NBB 301 or BIOL 360) and (QTM 100 or QTM_OX 100) or equivalent transfer credit as prerequisite. (Same as NBB 370 2) Why do humans sleep and dream? How does the brain control these and related states of consciousness? What are the implications of being a "night owl" versus a "morning person"? Is lucid dreaming a brain state and can you learn to do it? Do animals sleep differently and do they dream like we do? Do classic and more recent theories of dreaming make sense in terms of what we can measure? Does sleep really form memories and regulate our emotions? Does chronic sleep deprivation matter for mind and body? Can you perform complex actions in your sleep without knowing it? This is a survey course presenting a biologically informed approach to sleep and dreaming under both typical and pathological condition
PSYC 325       : PSYC 110 or BIOL 142 or BIOL_OX142 or equivalent transfer credit as a prerequisite. (Same as BIOL 325 1) (Following a general introduction to primatology, this course covers recent progress in the growing field of primate social behavior
PSYC 331       : QTM100 equivalent transfer credit as a prerequisite Prior completion of PSYC 110, or 111, or AP/IB credit in psychology
PSYC 473W      : This seminar will provide a comprehensive overview of autism spectrum disorders (ASD), including the clinical and epidemiological features of ASD, how to detect, diagnose, and treat the disorder, and etiological factors associated with ASD. Readings will include a collection of articles and chapters on ASD that elucidate the features of autism from both historic and current perspectives. Students will receive direct experience with individuals with ASD through supervised clinical practicum placements at the Marcus Autism Center for 3 hours/week (observation only). Marcus Autism Center is one of the country's leading centers for clinical care and scientific research of ASD. Students interested in enrolling in this course should have taken at least one of the following prerequisite courses: Child Psychopathology, Abnormal Psychology, Child Development, Cognitive Neuroscience, or related course. Permission from instructors is required. Students interested in enrolling in this course who have met the prerequisite requirements of Statistics, Methods, and either Child Psychopathology, Abnormal Psychology, Child Development, Cognitive Neuroscience, or a related course are asked to send, by email, a one-page maximum paper that includes responses to the following questions: 1. edu by October 31, 2025. Permission of the department required
PSYC 474R      : Prior completion of PSYC 110, OR PSYC 111, OR AP/IB credit in psychology. Juniors and Seniors ONLY. For permission, please e-mail the instructor. Permission of the department required
PSYC 495A      : (Permission Required Prior to Enrollment). Students enrolling in Psychology Honors Program must have a cumulative (overall) and major GPA of 3. Permission of the department required
PSYC_OX 210    : Psyc_ox 110, Psyc_ox 111 or equivalent transfer/test credit
PSYC_OX 223    : 
PSYC_OX 225    : PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111 or FILM 101 or FILM_OX 101 or FILM 102 or FILM_OX 102 or equivalent transfer credit as prerequisite. This class is cross-listed with FILM_OX 225
QTM 100        : If you are registering for lab QTM 100-LAB 1 you must enroll in lecture section QTM 100-1
QTM 185        : 
QTM 190        : (Freshmen Seminar - Limited to First Year Students Only) (Feminism isn't only about women, nor is feminism only for women
QTM 302W       : (Same as ENGRD 302W 1) (Permission Required Prior to Enrollment) (Go here to request a permission code: https://forms. ) Permission of the department required
QTM 398R       : This course is for TA positions for QTM courses besides QTM 100. com/r/341wsY0pq6. Permission of the department required
QTM 465        : (QTM 220 or ECON 320) and( QTM 151 or QTM_OX 151) or equivalent transfer credit
QTM 496R       : This is the course number for students receiving QTM credit hours for their quantitative intern experience. html Permission of the department required
QTM 498R       : QTM 220 or equivalent transfer credit as prerequisite. Permission of the department required
QTM 499R       : This is the course number of students receiving QTM credit hours for their research fellowship. html Permission of the department required
REL 371        : REL 250 or equivalent transfer credit as prerequisite. Permission Required Prior to Enrollment. To request permission to register, contact Prof. edu Law school schedule: Th 2pm-4:30pm LAW 831A emphasizes the production of scholarly writing in the form of a seminar paper. Undergraduate students enrolled in the cross-listed course number REL 371 for LAW 831A will meet with the instructor for 30 minutes at the conclusion of each class to discuss expectations, best practices, and strategies for scholarly research and writing. Graduate and professional students enrolled in LAW831A are also invited to join the discussion. For this reason, while LAW 831A is scheduled from 2pm - 4pm on Thursdays, the cross-listed course number will be scheduled from 2pm - 4:30pm. This seminar will examine the idea of sanctuary from its origins in ancient and medieval religious practices, through the sanctuary movement of the 1980s, and the advent of sanctuary jurisdictions. Pre- or Co-Requisite: None Final Assessment: Paper/Project Permission of the department required
REL_OX 170RW   : 
ISOM 453       : ISOM 351 as prerequisite. STECSTUBUS student may enroll. This section is reserved for students in the BBA program
ISOM 499R      : BBA & SPECSTUBUS students can enroll. This section is reserved for students in the BBA program. Students should have taken or is concurrently taking ISOM 351. Some basic familiarity with MS Excel (the Excel toolbox) also help
ITAL 201       : ITAL 201 LANGUAGE AND CULTURE, INTERMEDIARY LEVEL 1 (Prof. Porcarelli / MW 10:00am-11:15am in person; F 10:00-10:50am online synchronous). Content: This course is a continuation of the Elementary Italian sequence, and it is for students who have already completed ITAL 102 or equivalent. Prerequisites: Italian 102 or instructor's approval
ITAL 301W      : ITAL 301W-1 Pathways to Fluency (3 credits). Ristaino / MW 11:30am-12:45pm ). For students who have completed the ITAL201-202 sequence or have received permission from the DUS to enroll in the class. Prerequisites: I for students who have completed the ITAL201-202 sequence or have received permission from the DUS to enroll in the clas
JPN 201        : JPN 102 or equivalent transfer credit
JPN 401        : JPN 302 or JPN 302W or equivalent transfer credit
JS 273         : (Same as REL 270 4) This course satisfies the Religion major requirement:- Tradition-Judaism, Theme
JS 448W        : Any JS or MESAS course or equivalent transfer credit as prerequisite. (Same as HIST 448W 1, MESAS 448W 1, and POLS 448W 1) (Ever since the emergence of the Zionist movement in the late nineteenth century, the political future of the land known as both Israel and Palestine has been the subject of fierce international debate. Students will be given an overview of Israeli foreign policy and Palestinian attempts at global outreach since 1948 before the course moves on to explore the politics of the Israeli-Palestinian conflict in various regions of the world. While there is no fixed prerequisite for the course, students should either have some background in the politics and history of Israel or the Middle East or have previous studied another country or region that they plan to examine in their research) This is not an introductory course on the conflict. Those interested in an introductory course should enroll in the larger "Israeli-Palestinian Conflict" course to be taught in Spring 2026
KRN 227W       : 
KRN 301        : For permission to enroll, please contact Dr. Permission of the department required
KRN 383        : (Same as CPLT 369 2) All materials in English
KRN 403        : KRN 402 or equivalent transfer credit as prerequisite. For permission to enroll, please contact Dr. Permission of the department required
LACS 409       : (Same as SPAN 409 1, LING 409 1, HLTH 469 1) This course examines how particular narratives about the body, health, and wellbeing are constructed and circulated in Latin America. Prerequisites: At least one foundational course (SPAN 300- 318) or permission from instructor
LACS 490R      : (Same as SPAN 485 1) This course explores the intersection of patriarchy, racism, and violence in 21st-century Latin American film. In examining these issues, we will look at how People of Color, Women, Children, and members of the LGBTQ+ collective bear the brunt of abuse and generalized violence brought against them due to the sheer fact that they dare to exist. EVALUATION: Participation in class, written critical responses, an oral presentation, and a final research essay. PREREQUISITE: At least one foundational course (SPAN 300-318W) or permission from the instructor
LAT_OX 201W    : LAT_OX 102 or LAT 102 or LAT_OX 111 or equivalent transfer credit
LING 212W      : LING 201 or LING_OX 201 or ANT 203 or equivalent transfer credit as prerequisite. Prerequisite: Foundations of Linguistics (LING 201, LING_OX 201 or ANT 203), or equivalent course with permission of instructor
LING 242       : (Same as ANT 285 2) Students in this course will be exposed to a diverse range of the world's languages, and will acquire the tools and vocabulary to analyze them
LING 328       : Prerequisite: Linguistics 201 (or equivalent) or instructor consent is required for this course. Students interested in carrying out a research project in historical linguistics or historical sociolinguistics should speak with the instructor about enrolling concurrently or subsequently in Ling 497R
LING 409       : (Same as SPAN 409 1, LACS 409 1, HLTH 469 1) This course examines how particular narratives about the body, health, and wellbeing are constructed and circulated in Latin America. Prerequisites: At least one foundational course (SPAN 300- 318) or permission from instructor
LING 430R      : LING 201 or ANT 203 or LING_OX 201 or equivalent transfer credit
LING 446W      : (Same as SOC 446W 1, DATASCI 446W 1) The course deals with new tools of analysis and visualization of text data. The course does NOT require any prerequisites or prior knowledge of computational tools. Freshmen are not allowed to register. The course is based on a set of specialized Natural Language Processing tools (NLP), written in Python, designed for the analysis of small/large corpora of text. The tools come with an easy-to-use Graphical User Interface (GUI). From sentence splitter, to tokenizer, lemmatizer, parser with its Part-of-Speech tags (POSTAG), Dependency Relations (DEPREL), Named Entity Recognition (NER), semantic trees, sentence complexity and text readability, noun and verb analysis, n-grams viewer, sentiment analysis, topic modelling, extraction of SVOs (Subject-Verb-Object), and shape of stories, word embeddings (Word2Vec) you will learn the language of Natural Language Processing (NLP). The course also embeds tools of data visualization as word clouds, Excel-type charts, network graphs, and Geographic Information System (GIS) map
LING 497R      : (Permission Required Prior to Enrollment) (Topic: Emory Voices Project ) Permission of the department required
LING 498R      : Pre- or co-requisite: at least one other LING course, or permission of instructor. Students who have already taken this class aren't eligible to enroll for credit, but may be allowed to audit (email Dr. Permission of the department required
LTL_OX 201E    : LTL_OX 200 or equivalent transfer credit as prerequisite. (Permission of Instructor Required Prior to Enrollment) Permission of the department required
MATH 112Z      : MATH AP/AB or IB credits or equivalent transfer credit as prerequisite. First-year students only (there are NO EXCEPTIONS). This class is for freshmen who have earned a 4 or 5 on the AP AB exam, or a 5, 6 or 7 on the IB HL exam. Please email scores to MATH-APSCORES@LISTSERV. CC. EMORY. EDU. Permission of the department required
MUS 384        : 1) The MUS 347 pre-requisite is in the process of being removed, so any students interested in learning electronic music through hands-on performing and working with electronic instruments are encouraged to reach out to Dr. 2) Fall 2025 we will feature our second collaboration with dancers in. Lang's Movement Improvisation II course at Spelman College, making music and performing together with the dancers. Permission of the department required
MUS 443R       : (Same as THEA 443R 1) Permission of the department required
NBB 361W       : BIOL 360/NBB301 or equivalent transfer credit
NBB 460        : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite. (Same as BIOL 460 1) (This course explores our current understanding of the mechanisms that regulate development of the nervous system
NBB_OX 202     : (BIOL 141 and BIOL 141L) or BIOL_OX 141 or PSYC 110 or PSYC_OX 110 or equivalent transfer credit
NBB_OX 270R    : BIOL 141L or BIOL_OX 141L or equivalent transfer credit
NRSG 201       : All nursing pre-reqs courses require department permission to enroll. For Emory SON permission you must email nrsgpermissioninquiries@emory. Permission of the department required
NRSG 205       : All nursing pre-reqs courses require department permission to enroll. For Emory SON permission you must email nrsgpermissioninquiries@emory. Online asynchronous Permission of the department required
NRSG 326       : NRSG 310 or equivalent transfer credit as prerequisite. This section is for traditional BSN semester 2 students only
NRSG 331       : Students cannot self-register. Permission of the department required
NRSG 335       : This course meets the race and ethnicity GER and will count for History major and minor credit. This course is in the Arts and Social Justice program for the Fall 2025 semester. This class is full with a long waitlist but may change during the fall 2025 add/drop/swap period. To be added to the waitlist please contact nrsgpermissioninquiries@emory
NRSG 409       : NRSG 301 and NRSG 302 and NRSG 363 or equivalent transfer credit as prerequisites. This section is for traditional BSN semester 3 students only
NRSG 410       : NRSG 301 and NRSG 302 and NRSG 363 or equivalent transfer credit as prerequisites. This section is for traditional BSN semester 3 students only
NRSG 414       : NRSG 301 and NRSG 302 and NRSG 301 and NRSG 302 and NRSG 363 or equivalent transfer credit as prerequisites. This section is for traditional BSN semester 3 students only
NRSG 453       : NRSG 331 and NRSG 332 or equivalent transfer credit as prerequisite. Must seek permission from faculty. For trad BSN seniors only. Student cannot self-register. Permission of the department required
NRSG 497R      : Student cannot self-register. Permission of the department required
NRSG_OX 201    : Students must contact Advising Support to request permission numbers to enroll in this course. Permission of the department required
NRSG_OX 202    : (Permission Required Prior to Enrollment) Permission of the department required
OAM 450        : (FIN 320 or FIN_OX 320) and OAM 331 or equivalent transfer credit as prerequisites. This section is reserved for students in the BBA program. Permission of the department required
OAM 497        : This section is reserved for students in the BBA program. Permission of the department required
ENVS_OX 232E   : Must enroll in ENVS_OX 232E lab
ENVS_OX 244E   : Instructor permission required to enroll Global Learning course: additional fee required; financial aid available. Students offered enrollment will receive a permission number and additional instructions. Permission of the department required
FILM 207       : FILM 107 or FILM_OX 107 or equivalent transfer credit as prerequisite. There is a $120 Equipment Fee for this clas
FILM 208       : FILM 107 or FILM_OX 107 or equivalent transfer credit as prerequisite. $125 course fee for access to equipment room
FILM 211       : FILM 107 or ARTVIS 107 or FILM_OX 107 or equivalent transfer credit
FILM 214       : (Same as WGS 214 1) MCP Elective Black girlhood exist
FILM 255       : (FILM 101 or FILM_OX 101) and (FILM 107 or FILM_OX 107) or equivalent transfer credit as prerequisite. There is a $120 Equipment Fee for this clas
FILM 292R      : FILM 101 or FILM_OX 101 or equivalent transfer credit
FILM 326       : FILM 376 or THEA 221 or THEA 222 or equivalent transfer credit as prerequisite. (Same as THEA 326 1) This course is instructor permission-only. Please reach out to the instructor directly & CC Theater Studies' Program Coordinator, Nicole Hart (nahart@emory. edu), for enrollment permission. Permission of the department required
FILM 403       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit
FILM 404       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit as prerequisite. MCP Elective
FILM_OX 225    : PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111 or FILM 101 or FILM_OX 101 or FILM 102 or FILM_OX 102 or equivalent transfer credit as prerequisite. This class is cross-listed with PSYC_OX 225
FILM_OX 278W   : FILM_OX 101 or FILM 107 or ARTVIS 107 or FILM_OX 107 or equivalent transfer credit
FIN 399R       : This section is reserved for students in the BBA program. This course is intended to stimulate thinking about how the various players in the US healthcare system must change their strategies, operations, and measurement of health care outcomes if the US is to improve the value of care provided over the current delivery system
FIN 422        : FIN 220 or FIN 320 or SPECSTUBUS students or equivalent transfer credit
FIN 484        : FIN 424 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
FIN 485        : FIN 220 or FIN 320 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
FIN 488        : FIN 425 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
FREN 313       : FREN 310 or equivalent transfer credit as prerequisite. FREN 313 French and Francophone Culture (Prof
FREN 331       : FREN 310 or FREN_OX 310 and FREN 314 or FREN_OX 314 or equivalent transfer credit as prerequisite. FREN 331: Ruins and Ruination (Prof
FREN 460W      : FREN 310, FREN 314 and two 300 level FREN courses, or equivalent transfer credit as prerequisite. My French 460 : Les CInémas d'Afrique de l'Ouest et d'Afrique centrale Prof. À travers le prisme des histoires politiques et culturelles représentées dans chacun des films, ainsi que de leurs conditions de production transnationales, nous retracerons l'histoire de l'Afrique sur le grand écran telle que représentée par les Africain·es elles·eux-mêmes pour répondre à la question « Qu'est-ce que les cinémas d'Afrique » Films Paulin Vieyra, Afrique sur Seine (1955, 22 min. ) Ousmane Sembène, Borom Sarret (1964, 20 min. ) Ousmane Sembène, La Noire de' (1966, 65 min. ) Ousmane Sembène, Mandabi (1968, 90 min. ) Med Hondo, Soleil O (1967, 98 min. ) Sarah Maldoror, Sambizanga (1972,102 min. ) Djibril Diop Mambéty, Touki Bouki (1973, 85 min. ) Souleymane Cissé, Yeelen (1987, 104 min. ) Jean-Marie Teno, Afrique je te plumerai (1992, 88 min. ) Anne Laure Folly, Femmes aux yeux ouverts (1994, 52 min. ) Safi Faye, Mossane (1996, 105 min. ) Raoul Peck, Lumumba (2000, 115 min. ) Abderhaman Sissako, En attendant le bonheur (2002, 90 min. ) Petna Ndaliko Katondolo, Jazz Mama (2010, 30 min. ) Moussa Touré, La Pirogue (2012, 87 min. ) Alain Gomis, Félicité (2016, 129 min. ) Mati Diop, Atlantique (2019, 106 min. ) Petna Ndaliko Katondolo, Kapita (2021, 22 min
FREN 495BW     : FREN 310, FREN 314 and two 300 level FREN courses, or equivalent transfer credit as prerequisite. Permission of the department required
FREN_OX 101    : French 101 launches students' skills in speaking, writing, reading, and understanding French; and introduces them to the cultures of France and the French-speaking world. Students with past experience in French must have received a French 101 placement recommendation or have instructor permission to enroll. Access code for digital edition and online workbook (Connect) is required (ISBN 978-1-26026-750-1)
FREN_OX 102    : French 102 continues the work begun in French 101 and builds students' skills in speaking, writing, reading, and understanding French; and continues introducing them to the cultures of France and the French-speaking world. Students with past experience in French (other than French 101) must have received a French 102 placement recommendation or have instructor permission to enroll
FREN_OX 201    : French 201 builds off of students' past experience to further mastery of the French language and to deepen their knowledge of French and Francophone cultures. Prerequisites: French 102, placement recommendation, or instructor permission. Access code for digital edition and online workbook (SupersitePlus + WebSAM) is required (ISBN 978-1-54336-441-5)
FREN_OX 203    : French 203 builds off of French 201 (or other experience) to further students' mastery of the French language and to deepen their knowledge of French and Francophone literature, history and culture. Prerequisites: French 201, placement recommendation, or instructor permission
FREN_OX 314    : Prerequisites: French 203, a '4' or '5' on the French AP exam, 300-level placement recommendation, or instructor permission. , 100 poèmes classiques et contemporains (Classiques Larousse, ISBN 978-2-03-587388-0); Maryse Condé, Le cœur à rire et à pleurer (Pocket, ISBN 978-2-266-32873-9); Pierre Corneille, Horace (Classiques Larousse, ISBN 978-2-03-583915-2); Gustave Flaubert, Un cœur simple (Classiques Larousse, ISBN 978-2-03-587401-6); Laurent Fourcaut, Le commentaire composé (Armand Colin, ISBN 978-2-200-24876-5)
GER 101        : German 101 is the first of the two-course sequence that explores the roles and group affiliations that contribute to the identity formation of young adults in the United States and the German-speaking world. Specifically, students will examine the following three roles in 101, devoting 4-5 weeks to each: The young adult as (1) a student; (2) a hobbyist; and (3) a family member. Through this process of examining identity formation, students in this course and in its sequel, German 102, will be introduced to the principles of speaking, writing, reading, and understanding German and to life in German-speaking countries. Prerequisite: none; students who have had any prior exposure to the German language should take the department's online placement exam
AAS 387RW      : (Same as ENGCW 385RW 1, AMST 387RW 1, HIST 387RW 1) (Permission Required Prior to Enrollment) Application required. Permission of the department required
ACT 211        : ACT 200 or ACT_OX 200 or ACT 210 or ACT_OX 210 or SPECSTUBUS students or equivalent transfer credit as prerequisite. Students registered in ACT 200 cannot register for ACT 211
ACT 420        : (ACT 200 or ACT_OX 200 or ACT 210 or ACT_OX 210) and (BUS 350 or BUS_OX 350 or ISOM 350) or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
ACT 450        : ACT 200 or ACT_OX 200 or ACT 210 or ACT_OX 210 or ACT 512 or equivalent transfer credit as prerequisites. This section is reserved for students in the BBA program
ACT 499R       : ACT 200 or ACT_OX 200 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
AFS 302W       : PORT 201 or equivalent transfer credit as prerequisite. (Same as PORT 302W 1)
AFS 366W       : ECON _OX 100 or ECON 101 or ECON_OX 101 or FIN 201 AND ECON 112 or ECON_OX112 or equivalent transfer credit as a prerequisite. (Same as ECON 366W 1)
AFS 386        : (Same as ARTHIST 365 1) "POSTCOLONIAL ARTS OF AFRICA"Artists linked to the continent of Africa at times resist framing their work according to ethnic, national, or continental identities. Art History major/minors: Div III or IV
AMST 387RW     : (Same as ENGCW 385RW 1, AAS 387RW 1, HIST 387RW 1) (Permission Required Prior to Enrollment) Application required. Permission of the department required
AMST 490W      : (Same as IDS 491W 1) This course is a capstone to your interdisciplinary major. Permission of the department required
ANT 270        : Textbook: Andy Field, Jeremy Miles, Zoë Field (2012)
ANT 373W       : Previous course in cultural anthropology or permission of instructor is required
ANT 377W       : (Same as THEA 377W 1) Pre-requisite: Previous sociocultural anthropology course at 200 level or above is required
ANT 455W       : ANT 302 or PSYC 320 or BIOL 320 or PSYC 325 or BIOL 325 or equivalent transfer credit as prerequisite. ANT 302 or PSYC 320 or BIOL 320 or PSYC 325 or BIOL 325 or equivalent transfer credit
ANTH_OX 332E   : (ANTH_OX 101 or ANT 101) or (ANTH_OX 205 or ANT 205 or HLTH_OX 250 or HLTH 250) or equivalent transfer credit
ARAB_OX 201    : ARAB_OX 102 or equivalent transfer credit
BIOL 141       : The topics covered in LECTURE will address major issues in human biology, medicine, evolution, and ecology, with an emphasis on the basic principles and critical thinking involved in modern biological discovery. Students must also register for a BIOLOGY 141 Laboratory (BIOL 141L). In LAB, students will design and perform experiments using several important model systems. AP Biology scores of 4 or 5 count for the Biology 141 LECTURE ONLY. Students with AP credit for the lecture are required to take the Lab (BIOL 141L). Co-requisite: Biology 141L
BIOL 141L      : BIOL 141 or BIOL_OX 141 as co-requisite or CHEM 141 or CHEM_OX 141 as prerequisite or equivalent transfer credit as co-requisite or prerequisite
REL_OX 397RE   : ORS (Permission Required Prior to Enrollment) Permission of the department required
SOC 319        : FILM 102 and (FILM 201 or FILM 202 or FILM 203 or FILM 204) or equivalent transfer credit as prerequisite. (Same as MESAS 319 1, AFS 319 1, and FILM 319 1)
SOC 355W       : Any SOC or SOC_OX or equivalent transfer credit as prerequisite. This course introduces students to the research methods commonly used in sociology and related field
SOC 370A       : (Same as POLS 370A 1, ENVS 370A 1, CBSC 370A 1) This course examines how communities of all sizes and types (e. This course is a requirement for participation in Emory's Community Building and Social Change Fellows Program, though students do not need to commit to participating in the CBSC program to enroll. For more information on the CBSC program see https://www. com/ or contact the CBSC program director, Kate Grace, at kdgrace@emory. Permission of the department required
SOC_OX 389R    : Only open to students in the Oxford Launch: London program fall 2025. Topic: British Youth Culture From 1950 to the Present Permission of the department required
SPAN 101       : CONTENT: Spanish 101 is a beginning-level integrated skills language course for students with no background in Spanish or only one year of high-school Spanish. REQUIRED COURSE MATERIAL: Contraseña: Your Passport to Foundational Spanish (LingroLearning) + LinguaMeeting. com PARTICULARS: Classes are conducted in Spanish to maximize exposure to the language. PREREQUISITE: None, but students must take the Spanish Placement Exam and receive an Official Placement for SPAN 101 from the Department of Spanish and Portuguese
SPAN 185       : (Same as PORT 185 1) (Permission Required Prior to Enrollment) (Community engagement for residents of Casa Émory (Theme Housing). ) Permission of the department required
SPAN 201       : CONTENT: This course, which is the first half of our intermediate sequence in Spanish and intended to be followed by Span 202, continues to develop students' communicative skills in Spanish and is designed for students who have fewer than four years formal experience studying Spanish and/ or who do not identify as heritage or native speakers of Spanish. To this end, Span 201 aims to help students - continue to learn to use Spanish to communicate via active (speaking and writing) and passive modes (listening and reading); - further develop their knowledge of and about the tools of communication: basic linguistic units (words, idioms, conjugations, sounds) and grammar (rules which permit you to combine the units meaningfully); - explore, appreciate, and reflect upon a variety of Hispanic/ Latin/ Latinx cultures to critically discuss, compare, and analyze cultural productions. REQUIRED PROGRAM: Contraseña: Your Passport to Foundational Spanish (LingroLearning), a completely mobile and digital immersive experience. PARTICULARS: Classes are conducted in Spanish, and daily attendance and active engagement are expected. EVALUATION is based on active participation and timely completion of homework, end-of-unit cumulative activities or quizzes, end-of-unit projects, and bi-weekly online meetings with coaches who are native speakers of Spanish. There is no final exam in SPAN 201. PREREQUISITES: SPAN 102, SPAN 111 or an Official Placement for SPAN 201 from the Department of Spanish and Portuguese
SPAN 281       : CONTENT: Discussion of current events in the Spanish-speaking world with emphasis on listening comprehension and oral expression. PARTICULARS: Oriented toward Spanish, SpanPort, and SpanLing majors and minors. Does not fill HAL/IC or other general education requirements. PREREQUISITE: SPAN 212 or placement
SPAN 305       : DESCRIPTION: This course is designed specifically for heritage speakers: students who already speak Spanish and come from a Spanish-speaking family (typically their parents or grandparents speak this language); they have however never been schooled in Spanish or have received limited education in Spanish. The course introduces students to the study of the Spanish language and cultures in an academic context, and it is divided in three parts: 1) a sociohistorical background on the presence of the Spanish language in the United States, 2) a study on language variation and language ideologies, with a specific focus on the dialectal characteristics of US Spanish and how they differ and connect to other Spanish dialects, 3) a methodology for the critical analysis of cultural production in Spanish, such as films, literary works, music, etc. EVALUATION: Evaluation will be based on class participation, daily assignments, one exam, one oral presentation and three essays. PRE-REQUISITES: Heritage speakers of Spanish who have an official placement for foundational courses, or have completed Span 212, or with permission from instructor
SPAN 311       : CONTENT: Storytelling is universal; narratives are often thought of strictly as literature or art, but narrative is in fact something we engage in on a regular basis in all spheres of daily life. SPAN 311 is one of the foundational courses for the Spanish major and minor. PREREQUISITE: Spanish 212 or an official Spanish placement for a Foundational Course level (Span 300-318). Students wishing to enroll without this prerequisite should consult the instructor
